mpea,structure,xAl,xNi,xCr,xCo,xFe
Al1.364CoCrFeNi,BCC,0.2543,0.1864,0.1864,0.1864,0.1864
Al1.368CoCrFeNi,BCC,0.2548,0.1863,0.1863,0.1863,0.1863
Al1.372CoCrFeNi,BCC,0.2554,0.1862,0.1862,0.1862,0.1862
Al1.376CoCrFeNi,BCC,0.256,0.186,0.186,0.186,0.186
Al1.380CoCrFeNi,BCC,0.2565,0.1859,0.1859,0.1859,0.1859
Al1.384CoCrFeNi,BCC,0.2571,0.1857,0.1857,0.1857,0.1857
Al1.388CoCrFeNi,BCC,0.2576,0.1856,0.1856,0.1856,0.1856
Al1.392CoCrFeNi,BCC,0.2582,0.1855,0.1855,0.1855,0.1855
Al1.396CoCrFeNi,BCC,0.2587,0.1853,0.1853,0.1853,0.1853
Al1.400CoCrFeNi,BCC,0.2593,0.1852,0.1852,0.1852,0.1852
Al1.404CoCrFeNi,BCC,0.2598,0.185,0.185,0.185,0.185
Al1.408CoCrFeNi,BCC,0.2604,0.1849,0.1849,0.1849,0.1849
Al1.412CoCrFeNi,BCC,0.2609,0.1848,0.1848,0.1848,0.1848
Al1.416CoCrFeNi,BCC,0.2614,0.1846,0.1846,0.1846,0.1846
Al1.420CoCrFeNi,BCC,0.262,0.1845,0.1845,0.1845,0.1845
Al1.424CoCrFeNi,BCC,0.2625,0.1844,0.1844,0.1844,0.1844
Al1.428CoCrFeNi,BCC,0.2631,0.1842,0.1842,0.1842,0.1842
Al1.432CoCrFeNi,BCC,0.2636,0.1841,0.1841,0.1841,0.1841
Al1.436CoCrFeNi,BCC,0.2642,0.184,0.184,0.184,0.184
Al1.440CoCrFeNi,BCC,0.2647,0.1838,0.1838,0.1838,0.1838
Al1.444CoCrFeNi,BCC,0.2652,0.1837,0.1837,0.1837,0.1837
Al1.448CoCrFeNi,BCC,0.2658,0.1836,0.1836,0.1836,0.1836
Al1.452CoCrFeNi,BCC,0.2663,0.1834,0.1834,0.1834,0.1834
Al1.456CoCrFeNi,BCC,0.2669,0.1833,0.1833,0.1833,0.1833
Al1.460CoCrFeNi,BCC,0.2674,0.1832,0.1832,0.1832,0.1832
Al1.464CoCrFeNi,BCC,0.2679,0.183,0.183,0.183,0.183
Al1.468CoCrFeNi,BCC,0.2685,0.1829,0.1829,0.1829,0.1829
Al1.472CoCrFeNi,BCC,0.269,0.1827,0.1827,0.1827,0.1827
Al1.476CoCrFeNi,BCC,0.2695,0.1826,0.1826,0.1826,0.1826
Al1.480CoCrFeNi,BCC,0.2701,0.1825,0.1825,0.1825,0.1825
Al1.484CoCrFeNi,BCC,0.2706,0.1823,0.1823,0.1823,0.1823
Al1.488CoCrFeNi,BCC,0.2711,0.1822,0.1822,0.1822,0.1822
Al1.492CoCrFeNi,BCC,0.2717,0.1821,0.1821,0.1821,0.1821
Al1.496CoCrFeNi,BCC,0.2722,0.182,0.182,0.182,0.182
Al1.500CoCrFeNi,BCC,0.2727,0.1818,0.1818,0.1818,0.1818
Al1.504CoCrFeNi,BCC,0.2733,0.1817,0.1817,0.1817,0.1817
Al1.508CoCrFeNi,BCC,0.2738,0.1816,0.1816,0.1816,0.1816
