mpea,structure,xAl,xNi,xCr,xCo,xFe
Al0.3CoCrFeNi,FCC,0.0697,0.2325,0.2325,0.2325,0.2325
Al1.1CoCrFeNi,BCC,0.2157,0.1960,0.1960,0.1960,0.1960
